Item Type,Publication Year,Author,Title,DOI
journalArticle,2020,"Gatel, Laura; Lauvernet, Claire; Carluer, Nadia; Weill, Sylvain; Paniconi, Claudio",Sobol Global Sensitivity Analysis of a Coupled Surface/Subsurface Water Flow and Reactive Solute Transfer Model on a Real Hillslope,10.3390/w12010121
journalArticle,2021,"Bertoldi, Giacomo; Camporese, Matteo; Sulis, Mauro",Advances in Catchment Science through Integrated Hydrological Modelling and Monitoring,10.3390/w13152013
journalArticle,2017,"Kollet, Stefan; Sulis, Mauro; Maxwell, Reed M.; Paniconi, Claudio; Putti, Mario; Bertoldi, Giacomo; Coon, Ethan T.; Cordano, Emanuele; Endrizzi, Stefano; Kikinzon, Evgeny; Mouche, Emmanuel; Mügler, Claude; Park, Young-Jin; Refsgaard, Jens C.; Stisen, Simon; Sudicky, Edward","The integrated hydrologic model intercomparison project, IH-MIP2: A second set of benchmark results to diagnose integrated hydrology and feedbacks",10.1002/2016WR019191
journalArticle,2014,"Maxwell, Reed M.; Putti, Mario; Meyerhoff, Steven; Delfs, Jens-Olaf; Ferguson, Ian M.; Ivanov, Valeriy; Kim, Jongho; Kolditz, Olaf; Kollet, Stefan J.; Kumar, Mukesh; Lopez, Sonya; Niu, Jie; Paniconi, Claudio; Park, Young-Jin; Phanikumar, Mantha S.; Shen, Chaopeng; Sudicky, Edward A.; Sulis, Mauro",Surface-subsurface model intercomparison: A first set of benchmark results to diagnose integrated hydrology and feedbacks,10.1002/2013WR013725
journalArticle,2014,"Niu, Guo-Yue; Paniconi, Claudio; Troch, Peter A.; Scott, Russell L.; Durcik, Matej; Zeng, Xubin; Huxman, Travis; Goodrich, David C.",An integrated modelling framework of catchment-scale ecohydrological processes: 1. Model description and tests over an energy-limited watershed,10.1002/eco.1362
journalArticle,2014,"Niu, Guo-Yue; Troch, Peter A.; Paniconi, Claudio; Scott, Russell L.; Durcik, Matej; Zeng, Xubin; Huxman, Travis; Goodrich, David; Pelletier, Jon",An integrated modelling framework of catchment-scale ecohydrological processes: 2. The role of water subsidy by overland flow on vegetation dynamics in a semi-arid catchment,10.1002/eco.1405
journalArticle,2015,"Bonetti, Sara; Manoli, Gabriele; Domec, Jean-Christophe; Putti, Mario; Marani, Marco; Katul, Gabriel G.",The influence of water table depth and the free atmospheric state on convective rainfall predisposition,10.1002/2014WR016431
journalArticle,2015,"Manoli, Gabriele; Rossi, Matteo; Pasetto, Damiano; Deiana, Rita; Ferraris, Stefano; Cassiani, Giorgio; Putti, Mario",An iterative particle filter approach for coupled hydro-geophysical inversion of a controlled infiltration experiment,10.1016/j.jcp.2014.11.035
journalArticle,2014,"Manoli, Gabriele; Bonetti, Sara; Domec, Jean-Christophe; Putti, Mario; Katul, Gabriel; Marani, Marco",Tree root systems competing for soil moisture in a 3D soil–plant model,10.1016/j.advwatres.2014.01.006
journalArticle,2015,"Rossi, Matteo; Manoli, Gabriele; Pasetto, Damiano; Deiana, Rita; Ferraris, Stefano; Strobbia, Claudio; Putti, Mario; Cassiani, Giorgio",Coupled inverse modeling of a controlled irrigation experiment using multiple hydro-geophysical data,10.1016/j.advwatres.2015.03.008
journalArticle,2002,"Bixio, A.; Gambolati, G.; Paniconi, C.; Putti, M.; Shestopalov, V.; Bublias, V.; Bohuslavsky, A.; Kasteltseva, N.; Rudenko, Y.",Modeling groundwater-surface water interactions including effects of morphogenetic depressions in the Chernobyl exclusion zone,10.1007/s00254-001-0486-7
journalArticle,2010,"Camporese, M.; Paniconi, C.; Putti, M.; Orlandini, S.","Surface-subsurface flow modeling with path-based runoff routing, boundary condition-based coupling, and assimilation of multisource observation data",10.1029/2008WR007536
journalArticle,2020,"Paniconi, Claudio; Lauvernet, Claire","Numerical behavior of a coupled surface/subsurface, flow/transport hydrological model",
journalArticle,2019,"Gatel, Laura; Lauvernet, Claire; Carluer, Nadia; Weill, Sylvain; Tournebize, Julien; Paniconi, Claudio",Global evaluation and sensitivity analysis of a physically based flow and reactive transport model on a laboratory experiment,10.1016/j.envsoft.2018.12.006
journalArticle,2017,"Scudeler, C.; Paniconi, C.; Pasetto, D.; Putti, M.",Examination of the seepage face boundary condition in subsurface and coupled surface/subsurface hydrological models,10.1002/2016WR019277
journalArticle,2016,"Gatel, Laura; Lauvernet, Claire; Carluer, Nadia; Paniconi, Claudio",Effect of surface and subsurface heterogeneity on the hydrological response of a grassed buffer zone,10.1016/j.jhydrol.2016.09.038
journalArticle,2017,"Abed-Elmdoust, A.; Hazenberg, P.; Yang, Z. L.",A hybrid hillslope hydrological model for use in the Noah-MP land surface model,
conferencePaper,2018,"Lauvernet, Claire; Gatel, Laure-An; Paniconi, Claudio; Camporese, Matteo; Botto, Anna; Vidard, Arthur; Nodet, Maëlle",Assimilation of image data into a spatialized water and pesticide flux model,
thesis,2018,"Perra, Enrica","A comparative assessment of hydrologic models of varying complexity applied to a semi-­arid region (Sardinia, Italy). for climate change studies",
webpage,,,A low-dimensional integrated subsurface hydrological model coupled with 2-D overland flow_ Application to a restored fluvial hydrosystem (Upper Rhine River – France) | Elsevier Enhanced Reader,
journalArticle,,"Lauvernet, C; Maly, Ur; Gatel, L; Maly, Ur; Camporese, M; Vidard, A; Nodet, M; Paniconi, C",Assimilation of images into a spatialized model of water and pesticide ﬂuxes.,
journalArticle,2020,"Azarnivand, Ali; Camporese, Matteo; Alaghmand, Sina; Daly, Edoardo",Simulated response of an intermittent stream to rainfall frequency patterns,10.1002/hyp.13610
journalArticle,2019,"Camporese, M.; Paniconi, C.; Putti, M.; McDonnell, J. J.",Fill and Spill Hillslope Runoff Representation With a Richards Equation-Based Model,10.1029/2019WR025726
journalArticle,2019,"Perra, Enrica; Piras, Monica; Deidda, Roberto; Mascaro, Giuseppe; Paniconi, Claudio",Investigating Parameter Transferability across Models and Events for a Semiarid Mediterranean Catchment,10.3390/w11112261
journalArticle,2017,"Camporese, Matteo; Botto, Anna",On the importance of measurement error correlations in data assimilation for integrated hydrological models,
journalArticle,2018,"van den Heuvel, Daniël B.; Troch, Peter A.; Booij, Martijn J.; Niu, Guo-Yue; Volkmann, Till H.M.; Pangle, Luke A.",Effects of differential hillslope-scale water retention characteristics on rainfall–runoff response at the Landscape Evolution Observatory,10.1002/hyp.13148
journalArticle,,"Marchionni, V; Camporese, M",Eco-hydrological model of water dynamics in a small-scale urban reserve,
journalArticle,2020,"Azarnivand, Ali; Camporese, Matteo; Alaghmand, Sina; Daly, Edoardo",Modeling hydrological impacts of afforestation on intermittent streams,10.1016/j.scitotenv.2020.138748
journalArticle,2013,"Muma, Mushombe; Gumiere, Silvio J.; Rousseau, Alain N.; Scudeler, Carlotta; Paniconi, Claudio",Implementation of a Root Water Extraction Module in CATHY: Comparison of Four Empirical Root-density Distribution Models,10.1016/j.proenv.2013.06.007
